port,name,description
20,ftp-data,FTP
21,ftp,FTP
22,ssh,SSH
63,whoispp,"whois++ IANA assigned this well-formed service name as a replacement for ""whois++""."
63,whois++,whois++
63,whoispp,"whois++ IANA assigned this well-formed service name as a replacement for ""whois++""."
63,whois++,whois++
66,sql-net,"Oracle SQL*NET IANA assigned this well-formed service name as a replacement for ""sql*net""."
66,sql*net,Oracle SQL*NET
66,sql-net,"Oracle SQL*NET IANA assigned this well-formed service name as a replacement for ""sql*net""."
66,sql*net,Oracle SQL*NET
80,http,HTTP
143,imap,Internet Message Access Protocol
172,cl-1,"Network Innovations CL/1 IANA assigned this well-formed service name as a replacement for ""cl/1""."
172,cl/1,Network Innovations CL/1
172,cl-1,"Network Innovations CL/1 IANA assigned this well-formed service name as a replacement for ""cl/1""."
172,cl/1,Network Innovations CL/1
179,bgp,BGP
210,z39-50,"ANSI Z39.50 IANA assigned this well-formed service name as a replacement for ""z39.50""."
210,z39.50,ANSI Z39.50
210,z39-50,"ANSI Z39.50 IANA assigned this well-formed service name as a replacement for ""z39.50""."
210,z39.50,ANSI Z39.50
211,914c-g,"Texas Instruments 914C/G Terminal IANA assigned this well-formed service name as a replacement for ""914c/g""."
211,914c/g,Texas Instruments 914C/G Terminal
211,914c-g,"Texas Instruments 914C/G Terminal IANA assigned this well-formed service name as a replacement for ""914c/g""."
211,914c/g,Texas Instruments 914C/G Terminal
247,subntbcst-tftp,"SUBNTBCST_TFTP IANA assigned this well-formed service name as a replacement for ""subntbcst_tftp""."
247,subntbcst_tftp,SUBNTBCST_TFTP
247,subntbcst-tftp,"SUBNTBCST_TFTP IANA assigned this well-formed service name as a replacement for ""subntbcst_tftp""."
247,subntbcst_tftp,SUBNTBCST_TFTP
270,gist,Q-mode encapsulation for GIST messages
271,pt-tls,IETF Network Endpoint Assessment (NEA) Posture Transport Protocol over TLS (PT-TLS)
323,rpki-rtr,Resource PKI to Router Protocol
324,rpki-rtr-tls,Resource PKI to Router Protocol over TLS
363,rsvp-tunnel,"RSVP Tunnel IANA assigned this well-formed service name as a replacement for ""rsvp_tunnel""."
363,rsvp_tunnel,RSVP Tunnel
363,rsvp-tunnel,"RSVP Tunnel IANA assigned this well-formed service name as a replacement for ""rsvp_tunnel""."
363,rsvp_tunnel,RSVP Tunnel
399,iso-tsap-c2,ISO Transport Class 2 Non-Control over TCP
399,iso-tsap-c2,ISO Transport Class 2 Non-Control over UDP
428,ocs-cmu,"OCS_CMU IANA assigned this well-formed service name as a replacement for ""ocs_cmu""."
428,ocs_cmu,OCS_CMU
428,ocs-cmu,"OCS_CMU IANA assigned this well-formed service name as a replacement for ""ocs_cmu""."
428,ocs_cmu,OCS_CMU
429,ocs-amu,"OCS_AMU IANA assigned this well-formed service name as a replacement for ""ocs_amu""."
429,ocs_amu,OCS_AMU
429,ocs-amu,"OCS_AMU IANA assigned this well-formed service name as a replacement for ""ocs_amu""."
429,ocs_amu,OCS_AMU
442,cvc-hostd,"cvc_hostd IANA assigned this well-formed service name as a replacement for ""cvc_hostd""."
442,cvc_hostd,cvc_hostd
442,cvc-hostd,"cvc_hostd IANA assigned this well-formed service name as a replacement for ""cvc_hostd""."
442,cvc_hostd,cvc_hostd
443,https,HTTPS
456,macon-tcp,macon-tcp
456,macon-udp,macon-udp
465,urd,URL Rendezvous Directory for SSM
465,submissions,Message Submission over TLS protocol
465,igmpv3lite,IGMP over UDP for SSM
474,tn-tl-w1,tn-tl-w1
474,tn-tl-w2,tn-tl-w2
512,exec,remote process execution; authentication performed using passwords and UNIX login names
